date,open,high,low,close,volume,symbol,EMA_9,EMA_21,RSI_MA_14_20,ORB_High,ADX_14,Signal
2025-09-25T13:55:00.000000,12184.25,12200.9,12175.9,12198.8,202,ULTRACEMCO,12199.648686800205,12202.860968550032,51.69929410626207,12232.5,17.09842934664706,
2025-09-25T14:00:00.000000,12198.8,12203.75,12169.8,12188.3,299,ULTRACEMCO,12197.378949440164,12201.537244136392,51.874415336039974,12232.5,17.101500406741202,
2025-09-25T14:05:00.000000,12188.3,12203.1,12177.95,12192.35,303,ULTRACEMCO,12196.373159552131,12200.702040123993,52.194278019915416,12232.5,17.104352105400046,
2025-09-25T14:10:00.000000,12192.35,12211.35,12174.25,12194.5,336,ULTRACEMCO,12195.998527641705,12200.13821829454,52.13819602281323,12232.5,16.42386749907052,
2025-09-25T14:15:00.000000,12194.5,12205.3,12174.0,12191.95,327,ULTRACEMCO,12195.188822113363,12199.393834813218,52.03021559774015,12232.5,15.80953125800652,
2025-09-25T14:20:00.000000,12191.95,12196.75,12174.05,12184.05,284,ULTRACEMCO,12192.96105769069,12197.99894073929,51.30352722200647,12232.5,15.239076177018521,
2025-09-25T14:25:00.000000,12184.05,12196.3,12165.35,12179.95,209,ULTRACEMCO,12190.358846152552,12196.358127944808,50.44372650008449,12232.5,15.347095883414335,
2025-09-25T14:30:00.000000,12186.25,12186.25,12163.55,12176.95,317,ULTRACEMCO,12187.677076922042,12194.593752677098,49.443261184997496,12232.5,15.573019036140712,
2025-09-25T14:35:00.000000,12176.95,12180.0,12152.0,12180.0,295,ULTRACEMCO,12186.141661537633,12193.26704788827,48.408936198912386,12232.5,16.524284085098177,
2025-09-25T14:40:00.000000,12182.25,12182.25,12164.3,12166.6,186,ULTRACEMCO,12182.233329230106,12190.842770807518,47.11390842186997,12232.5,17.167967974620982,
2025-09-25T14:45:00.000000,12166.5,12166.5,12164.3,12165.05,24,ULTRACEMCO,12178.796663384084,12188.497973461379,45.65757460626317,12232.5,17.765674443463585,
2025-09-25T14:50:00.000000,12165.05,12165.05,12165.05,12165.05,0,ULTRACEMCO,12176.047330707268,12186.366339510345,44.60852552500502,12232.5,18.320687593103145,
2025-09-25T14:55:00.000000,12165.05,12178.0,12165.05,12176.35,55,ULTRACEMCO,12176.107864565814,12185.455763191223,43.933462887956544,12232.5,17.42272392322907,
2025-09-25T15:00:00.000000,12176.35,12176.35,12120.1,12120.1,568,ULTRACEMCO,12164.90629165265,12179.514330173839,42.43301313276836,12232.5,19.084832739610977,
2025-09-25T15:05:00.000000,12120.1,12140.1,12119.9,12127.25,180,ULTRACEMCO,12157.375033322121,12174.763027430763,41.34943911783275,12232.5,20.63573180496876,SELL
2025-09-25T15:10:00.000000,12127.25,12138.8,12127.15,12135.1,87,ULTRACEMCO,12152.920026657697,12171.15729766433,40.83569750818681,12232.5,22.075852365658132,SELL
2025-09-25T15:15:00.000000,12135.1,12151.0,12127.6,12151.0,53,ULTRACEMCO,12152.536021326157,12169.32481605848,40.8116040656203,12232.5,22.292050643232873,SELL
2025-09-25T15:20:00.000000,12151.0,12156.25,12139.0,12141.0,101,ULTRACEMCO,12150.228817060926,12166.749832780437,40.646900507095914,12232.5,22.053862798075215,SELL
2025-09-25T15:25:00.000000,12141.0,12153.0,12132.7,12136.0,80,ULTRACEMCO,12147.38305364874,12163.954393436761,40.19582229195582,12232.5,22.178223324656592,SELL
